company_name,contact_first_name,contact_last_name,role,email,phone,website,city,state,zip,trade,employees_est,revenue_band,google_rating,reviews_count,website_quality,has_online_booking,has_chat_widget,has_service_area_pages,last_site_update,lead_score,segment,pain_point,offer_angle,source,source_url,status,next_step,next_touch_date,notes
ProDrain Specialists,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No emergency page,No,No,No,,72,Tier 2,Missed high-intent jobs,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
BlueLine Plumbing Services,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No booking UX,No,No,No,,71,Tier 2,Leak in lead funnel,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Express Leak Repair,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No area pages,No,No,No,,70,Tier 3,Weak rank coverage,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
RightWay Plumbing,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,Generic homepage only,No,No,No,,69,Tier 3,Low local relevance,LeadLaunch Growth + page map,Manual Research,,To Contact,Find owner email,,
Family First Plumbing,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No trust badges,No,No,No,,68,Tier 3,Low close rate from web leads,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
QuickFix Plumbing Co.,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No clear quote flow,No,No,No,,67,Tier 3,Lead friction,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Golden Pipe Plumbing,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No conversion analytics,No,No,No,,66,Tier 3,No performance visibility,LeadLaunch Growth + analytics,Manual Research,,To Contact,Find owner email,,
Neighborhood Rooter Works,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,Old design,No,No,No,,65,Tier 3,Brand credibility gap,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Summit Plumbing Group,,,Operations Manager,,,,,TX,,Plumbing,16-30,3m-8m,,,No segmented pages,No,No,Partial,,64,Tier 3,Hard to scale lead capture,LeadLaunch Pro,Manual Research,,To Contact,Find manager email,,
24/7 Leak & Drain,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No after-hours conversion flow,No,No,No,,63,Tier 3,Missed night/weekend leads,LeadLaunch Starter + missed-call SMS,Manual Research,,To Contact,Find owner email,,
Metro Pipe & Drain,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No hero CTA,No,No,No,,62,Tier 3,Low call intent capture,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
SolidFlow Plumbing,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No financing section,No,No,No,,61,Tier 3,Price objection on high-ticket jobs,LeadLaunch Growth + financing block,Manual Research,,To Contact,Find owner email,,
Neighborhood Water Heater Pros,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No water heater page depth,No,No,No,,60,Tier 3,High-ticket service not showcased,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
Elite Sewer & Plumbing,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No local proof,No,No,No,,59,Tier 3,Weak market differentiation,LeadLaunch Growth + case snippets,Manual Research,,To Contact,Find owner email,,
Townside Plumbing & Heating,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No schedule request UX,No,No,No,,58,Tier 3,Appointment friction,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
